,Symbol,Company
708,CMLS,Cumulus Media Inc Cl A
709,CMPR,Cimpress N.V. Ord
710,CMRX,Chimerix Inc
711,CMTL,Comtech Telecom Company
712,CNAT,Conatus Pharmaceutic
713,CNBKA,Century Bancorp Inc
714,CNCE,Concert Pharmaceutic
715,CNCR,Loncar Cancer Immunotherapy ETF
716,CNDT,Conduent Inc
717,CNET,Chinanet Online Hld
718,CNFR,Conifer Holdings
719,CNFRL,Conifer Holdings Inc 6.75% Senior Unsecured No
720,CNNB,Cincinnati Bancorp
721,CNOB,Connectone Bancorp
722,CNSL,Consolidated Communications Holdings Inc
723,CNSP,Cns Pharmaceuticals Inc
724,CNST,Constellation Pharmaceuticals Inc
725,CNTG,Centogene N.V.
726,CNTY,Century Casinos IN
727,CNXN,PC Connection Inc
728,COCP,Cocrystal Pharma Inc
729,CODA,Coda Octopus Group
730,CODX,Co-Diagnostics Inc
731,COFS,Choiceone Financial
732,COHR,Coherent Inc
733,COHU,Cohu Inc
734,COKE,Coca Cola Bot Cons
735,COLB,Columbia Banking Sys
736,COLL,Collegium Pharma
737,COLM,Columbia Sprtswr
738,COMM,Commscope Holding Company
739,COMT,Commodities Select Strategy Ishares ETF
740,CONE,Cyrusone Inc
741,CONN,Conn's Inc
742,COOP,Mr.Cooper Group Inc
743,CORE,Core Mark Holding
744,CORT,Corcept Therapeutics
745,CORV,Correvio Pharma Corp
746,COST,Costco Wholesale
747,COUP,Coupa Software Inc
748,COWN,Cowen Group Inc
749,COWNL,Cowen Inc 7.75% Senior Notes Due 2033
750,COWNZ,Cowen Inc 7.35% Senior Notes Due 2027
751,CPAA,Conyers Park II Acquisition Corp Cl A
752,CPAAU,Conyers Park II Acquisition Corp Unit
753,CPAAW,Conyers Park II Acquisition Corp WT
754,CPAH,Counterpath Corp
755,CPHC,Canterbury Park Hl
756,CPIX,Cumberland Pharmaceu
757,CPLP,Capital Product Part
758,CPRT,Copart Inc
759,CPRX,Catalyst Pharm Inc
760,CPSH,Cps Technologies
761,CPSI,Computer Programs
762,CPSS,Consumer Portfol
763,CPST,Capstone Turbine Cp
764,CPTA,Capitala Finance Crp
765,CPTAG,Capitala Finance Corp 5.75% Convertible Notes D
766,CPTAL,Capitala Finance Corp 6% Notes Due 2022
767,CPZ,Calamos Long/Short Equity & Dynamic Income Trust
768,CRAI,Cra International
769,CRBP,Corbus Pharma
770,CRDF,Cardiff Oncology Inc.
771,CREE,Cree Inc
772,CREG,China Recycling Ener
773,CRESY,Cresud Sacif ADR
774,CREX,Creative Realities Inc
775,CREXW,Creative Realities Inc
776,CRIS,Curis Inc
777,CRMT,America's Car-Mart
778,CRNC,Cerence Inc
779,CRNT,Ceragon Networks Ltd
780,CRNX,Crinetics Pharmaceuticals Inc
781,CRON,Cronos Group Inc
782,CROX,Crocs Inc
783,CRSA,Crescent Acquisition Corp Cl A
784,CRSAU,Crescent Acquisition Corp Unit
785,CRSAW,Crescent Acquisition Corp WT
786,CRSP,Crispr Therapeutics Ag
787,CRTO,Criteo S.A. Ads
788,CRTX,Cortexyme Inc
789,CRUS,Cirrus Logic Inc
790,CRVL,Corvel Cp
791,CRVS,Corvus Pharma Com
792,CRWD,Crowdstrike Holdings Inc
793,CRWS,Crown Crafts Inc
794,CSA,Victory US Smallcap Vol Wtd ETF
795,CSB,Victory US Smallcap HI Div Vol Wtd ETF
796,CSBR,Champions Oncolog
797,CSCO,Cisco Systems Inc
798,CSF,Victory US Disc Enhd Vol Wtd ETF
799,CSFL,Centerstate Bank Corp
800,CSGP,Costar Group Inc
801,CSGS,C S G Sys Intl
802,CSII,Cardiovascular Syst
803,CSIQ,Canadian Solar Inc
804,CSML,IQ Chaikin U.S. Small Cap ETF
805,CSOD,Cornerstone Ondemand
806,CSPI,C S P Inc
807,CSQ,Calamos Strgc Ttl Rt
808,CSSE,Chicken Soup For The Soul Entertainment Inc
809,CSSEP,Chicken Soup For The Soul Entertainment Inc 9.
810,CSTE,Caesarstone Sdot-Yam
811,CSTL,Castle Biosciences Inc
812,CSTR,Capstar Financial Holdings Inc
813,CSWC,Capital Southwest
814,CSWCL,Capital Southwest Corp 5.95% Notes Due 20
815,CSWI,Csw Industrials Inc
816,CSX,CSX Corp
817,CTAS,Cintas Corp
818,CTBI,Community TR Bancp
819,CTG,Computer Task Gp Inc
820,CTHR,Charles & Colvard
821,CTIB,Cti Inds Corp
822,CTIC,Cti Biopharm Corp
823,CTMX,Cytomx Thera
824,CTRC,Centric Brands Inc
825,CTRE,Caretrust REIT Inc
826,CTRM,Castor Maritime Inc
827,CTRN,Citi Trends Inc
828,CTSH,Cognizant Tech Sol
829,CTSO,Cytosorbents Cor
830,CTXR,Citius Pharmaceuticals Inc
831,CTXRW,Citius Pharmaceuticals Inc WT
832,CTXS,Citrix Systems Inc
833,CUBA,Herzfeld Caribbean
834,CUE,Cue Biopharma Inc
835,CUTR,Cutera Inc
836,CVBF,Cvb Financial Corp
837,CVCO,Cavco Inds Inc
838,CVCY,Central Vly Cmty Bcp
839,CVET,Covetrus Inc
840,CVGI,Commercial Vehicle G
841,CVGW,Calavo Growers Inc
842,CVLT,Commvault Systems
843,CVLY,Codorus Valley Bncp
844,CVTI,Covenant Transportn
845,CVV,CVD Equipment Corp
846,CWBC,Community West Bncsh
847,CWBR,Cohbar Inc
848,CWCO,Cons Water Co. Inc
849,CWST,Casella Waste Sys
850,CXDC,China Xd Plastics Company
851,CXSE,Wisdomtree China Ex-Cso Fund
852,CYAD,Celyad Sa Ads
853,CYAN,Cyanotech Corp
854,CYBE,Cyberoptics Cp
855,CYBR,Cyberark Soft Ord
856,CYCC,Cyclacel Pharmaceuti
857,CYCCP,Cyclacel Pharmaceuti
858,CYCN,Cyclerion Therapeutics Inc
859,CYRN,Cyren Ltd
860,CYRX,Cryoport Inc
861,CYRXW,Cryoport Inc WT
862,CYTK,Cytokinetics
863,CZNC,Citizens Nrthn Cp
864,CZR,Caesars Entertainment Corp
865,CZWI,Citizens Community
866,DADA,Dada Nexus Limited American Depositary Shares
867,DAIO,Data I O Cp
868,DAKT,Daktronics Inc
869,DALI,First Trust Dorseywright Dali 1 ETF
870,DARE,Dare Bioscience Inc
871,DAX,DAX Germany ETF
872,DBCP,Delmar Bancorp
873,DBVT,Dbv Technologies Ads
874,DBX,Dropbox Inc
875,DCAR,Dropcar Inc
876,DCOM,Dime Community Bncsh
877,DCOMP,Dime Community Bancshares
878,DCPH,Deciphera Pharmaceuticals Inc
879,DCTH,Delcath Systems Inc.
880,DDIV,First Trust High Income ETF
881,DDOG,Datadog Inc Cl A
882,DENN,Dennys Corp
883,DFFN,Diffusion Pharmaceuticals Inc
884,DFNL,Davis Select Financial ETF
885,DFPH,Dfp Healthcare Acquisitions Corp. Cl A
886,DFPHU,Dfp Healthcare Acquisitions Corp
887,DFPHW,Dfp Healthcare Acquisitions Corp. WT
888,DGICA,Donegal Group Cl A
889,DGICB,Donegal Group Cl B
890,DGII,Digi Intl Inc
891,DGLD,VS 3X Inv Gold
892,DGLY,Digital Ally Inc
893,DGRE,Wisdomtree EM Quality Divd Growth Fund
894,DGRS,Wisdomtree US Smallcap Quality Dvid Fund
895,DGRW,Wisdomtree US Quality Divd Fund
896,DHC,Diversified Healthcare Trust
897,DHCNI,Diversified Healthcare Trust
898,DHCNL,Diversified Healthcare Trust
899,DHIL,Diamond Hill Inv
900,DINT,Davis Select International ETF
901,DIOD,Diodes Inc
902,DISCA,Discovery Comm A
903,DISCB,Discovery Comm B
904,DISCK,Discovery Comm Inc
905,DISH,Dish Network Corp
906,DJCO,Daily Journal Cp
907,DKNG,Draftkings Inc
908,DKNGW,Draftkings Inc Warrants
909,DLHC,Dlh Holdings Corp
910,DLPN,Dolphin Entertainment Inc
911,DLPNW,Dolphin Entertainment Inc WT
912,DLTH,Duluth Hld Cl B
913,DLTR,Dollar Tree Inc
914,DMAC,Diamedica Therapeutics Inc
915,DMLP,Dorchester Minls
916,DMPI,Delmar Pharmaceuticals Inc
917,DMRC,Digimarc Corp
918,DMTK,Dermtech Inc
919,DNJR,Golden Bull Limited
920,DNKN,Dunkin' Brands Group
921,DNLI,Denali Therapeutics Inc
922,DOCU,Docusign Inc
923,DOGZ,Dogness Corp Cl A
924,DOMO,Domo Inc Cl B
925,DOOO,Brp Inc
926,DORM,Dorman Products Inc
927,DOX,Amdocs Ltd Ord
928,DOYU,Douyu International Holdings Ltd Ads
929,DPHC,Diamondpeak Holdings Corp Cl A
930,DPHCU,Diamondpeak Holdings Corp Units
931,DPHCW,Diamondpeak Holdings Corp Wt6
932,DRAD,Digirad Corp
933,DRADP,Digirad Corp Series A Cumulative Perpetua
934,DRIO,Dario Health Corp
935,DRIOW,Labstyle Innovati WT
936,DRIV,Global X Autonomous & Electric Vehicles ETF
937,DRNA,Dicerna Pharmaceutic
938,DRRX,Durect Corp
939,DRTT,Dirtt Environmental Solutions Ltd
940,DSGX,Descartes Sys Group
941,DSKE,Daseke Inc
942,DSKEW,Daseke Inc
943,DSLV,VS 3X Inv Silver
944,DSPG,D S P Group Inc
945,DSWL,Deswell Inds Inc
946,DTEA,Davidstea Inc
947,DTIL,Precision Biosciences Inc
948,DTSS,Datasea Inc
949,DUO,Fangdd Network Group Ltd ADR
950,DUOT,Duos Technologies Group Inc
951,DUSA,Davis Select USA ETF
952,DVAX,Dynavax Technologies
953,DVLU,First Trust Momentum & Value ETF
954,DVOL,First Trust Momentum & Low Volatility ETF
955,DVY,Select Dividend Ishares ETF
956,DWAS,DWA Smallcap Momentum Invesco ETF
957,DWAT,Arrow DWA Tactic ETF
958,DWAW,Advisorshares Dorsey Wright Fsm All Cap World Et
959,DWCR,Arrow DWA Country Rotation ETF
960,DWEQ,Advisorshares Dorsey Wright Alpha Equal Weight E
961,DWFI,DW Fixed Income Allocation ETF SPDR
962,DWLD,Davis Select World Opportunities ETF
963,DWMC,Advisorshares D.W. Micro-Cap ETF
964,DWPP,First Trust Dorsey Wright People's Portfolio ETF
965,DWSH,Advisorshares D.W. Short ETF
966,DWSN,Dawson Geophscl
967,DWUS,Advisorshares Dorsey Wright Fsm US Core ETF
968,DXCM,Dexcom
969,DXGE,Wisdomtree Germany Hedged Eqty Fund
970,DXJS,Wisdomtree Japan Smallcap Eqty Hedged Fund
971,DXLG,Destination XL Group
972,DXPE,Dxp Enterprise
973,DXYN,The Dixie Group
974,DYAI,Dyadic International
975,DYNT,Dynatronics Cp
976,DZSI,Dasan Zhone Solutions Inc
977,EA,Electronic Arts Inc
978,EARS,Auris Medical
979,EAST,Eastside Distilling Inc
980,EBAY,Ebay Inc
981,EBAYL,Ebay Inc 6.0% NTS
982,EBIX,Ebix Inc
983,EBIZ,Global X E-Commerce ETF
984,EBMT,Eagle Bancorp [Mt]
985,EBSB,Meridian Bncp
986,EBTC,Enterprise Bancorp
987,ECHO,Echo Global Logistic
988,ECOL,US Ecology Inc
989,ECOLW,US Ecology Inc WT
990,ECOR,Electrocore Inc
991,ECOW,Pacer Emerging Markets Cash Cows 100 ETF
992,ECPG,Encore Capital Group
993,EDAP,Edap Tms Sa ADR
994,EDIT,Editas Medicine
995,EDNT,Edison Nation Inc
996,EDRY,Eurodry Ltd
997,EDSA,Edesa Biotech Inc
998,EDUC,Educational Dev Cp
999,EEFT,Euronet Worldwide
1000,EEMA,Emrg Mkts Asia Ishares MSCI ETF
1001,EFAS,G-X MSCI Superdividend EAFE ETF
1002,EFOI,Energy Focus
1003,EFSC,Enterprises Finl Svc
1004,EGAN,Egain Corp
1005,EGBN,Eagle Bancorp Inc
1006,EGLE,Eagle Bulk Ship
1007,EGOV,Nic Inc
1008,EGRX,Eagle Pharmaceuticals
1009,EH,Ehang Holdings Ltd Ads
1010,EHTH,Ehealth Inc
1011,EIDX,Eidos Therapeutics Inc
1012,EIGI,Endurance Int Group
1013,EIGR,Eiger Biopharma
1014,EKSO,Ekso Bionics Holdings Inc
1015,ELGX,Endologix Inc
1016,ELOX,Eloxx Pharmaceuticals Inc
1017,ELSE,Electro Sensors IN
1018,ELTK,Eltek Ltd
1019,EMB,USD Emrg Mkts Bond Ishares JPM ETF
1020,EMCB,Wisdomtree EM Corp Bond Fund
1021,EMCF,Emclaire Finl Cor
1022,EMCG,Wisdomtree EM Consumer Growth
1023,EMIF,Emrg Mkts Infrastructure Ishares ETF
1024,EMKR,Emcore Corp
1025,EML,Eastern Company
1026,EMMS,Emmis Commun Cl A
1027,EMXC,Emrg Mkts Ex China Ishares MSCI ETF
1028,ENDP,Endo Int'l Plc
1029,ENG,Englobal Corp
1030,ENLV,Enlivex Therapeutics Ltd
1031,ENOB,Enochian Biosciences Inc
1032,ENPH,Enphase Energy Inc
1033,ENSG,The Ensign Group IN
1034,ENT,Global Eagle Entrtn
1035,ENTA,Enanta Pharmaceutica
1036,ENTG,Entegris Inc
1037,ENTX,Entera Bio Ltd
1038,ENTXW,Entera Bio Ltd WT
1039,ENZL,New Zealand Ishares MSCI ETF
1040,EOLS,Evolus Inc
1041,EPAY,Bottomline Tech IN
1042,EPIX,Essa Pharma
1043,EPSN,Epsilon Energy
1044,EPZM,Epizyme Inc
1045,EQ,Equillium Inc
1046,EQBK,Equity Bncsrs Cm A
1047,EQIX,Equinix Inc
1048,EQRR,Proshares Equities For Rising Rates ETF
1049,ERI,Eldorado Resorts
1050,ERIC,Ericsson ADR
1051,ERIE,Erie Indemnity Company
1052,ERII,Energy Recovery Inc
1053,ERYP,Erytech Pharma
1054,ESBK,Elmira Sav Bk
1055,ESCA,Escalade Inc
1056,ESEA,Euroseas Ltd
1057,ESGD,EAFE ESG Optimized Ishares MSCI ETF
1058,ESGE,Emrg Mkts ESG Optimized Ishares MSCI ETF
1059,ESGR,Enstar Group Ltd
1060,ESGRO,Enstar Group Ltd Depository Shares 7.00% Per
1061,ESGRP,Enstar Group Ltd
1062,ESGU,USA ESG Optimized Ishares MSCI ETF
1063,ESLT,Elbit Systems Ltd
1064,ESPO,Vaneck Vectors Video Gaming and Esports ETF
1065,ESPR,Esperion Theraptc
1066,ESQ,Esquire Financial Holdings Inc
1067,ESSA,Essa Bancorp Inc
1068,ESSC,East Stone Acquisition Corp
1069,ESSCR,East Stone Acquisition Corporation Right
1070,ESSCU,East Stone Acquisition Corp
1071,ESSCW,East Stone Acquisition Corporation WT
1072,ESTA,Establishment Labs Holdings Inc
1073,ESXB,Community Bankers
1074,ETFC,E*Trade Finl Corp
1075,ETNB,89Bio Inc
1076,ETON,Eton Pharmaceutcials Inc
1077,ETSY,Etsy Inc
1078,ETTX,Entasis Therapeutics Holdings Inc
1079,EUFN,Europe Financials Ishares MSCI ETF
1080,EVBG,Everbridge Inc
1081,EVER,Everquote Inc Cl A
1082,EVFM,Evofem Biosciences Inc
1083,EVGN,Evogene Ltd Ord
1084,EVK,Ever Glory Intl Group
1085,EVLO,Evelo Biosciences Inc
1086,EVOK,Evoke Pharma
1087,EVOL,Evolving Systems Inc
1088,EVOP,Evo Payments Inc Cl A
1089,EVSI,Envision Solar International Inc
1090,EVSIW,Envision Solar Intl Inc WT
1091,EVSTC,Eaton Vance Nextshares Trust Eaton Vance Stock N
1092,EWBC,East West Bancorp
1093,EWJE,Ishares MSCI Japan Equal Weighted ETF
1094,EWJV,Ishares MSCI Japan Value ETF
1095,EWZS,Brazil Small-Cap Ishares MSCI ETF
1096,EXAS,Exact Sciences Cor
1097,EXC,Exelon Corp
1098,EXEL,Exelixis Inc
1099,EXFO,Exfo Inc
1100,EXLS,Exlservice Holdings
1101,EXPC,Experience Investment Corp. Cl A
1102,EXPCU,Experience Investment Corp
1103,EXPCW,Experience Investment Corp. Warrants
1104,EXPD,Expeditors Intl
1105,EXPE,Expedia Group Inc
1106,EXPI,Exp Realty International
1107,EXPO,Exponent Inc
1108,EXTR,Extreme Networks
1109,EYE,National Vision Holdings Inc
1110,EYEG,Eyegate Pharma
1111,EYEGW,Eyegate Pharm WT
1112,EYEN,Eyenovia Inc
1113,EYES,Second Sight
1114,EYESW,Second Sight Medical Products Inc WT
1115,EYPT,Eyepoint Pharmaceuticals Inc
1116,EZPW,Ezcorp Inc
1117,FAAR,Alternative Absolute Return Strategy ETF FT
1118,FAB,Multi Cap Value Alphadex Fund FT
1119,FAD,Multicap Growth Alphadex Fund FT
1120,FALN,US Fallen Angels Ishares ETF
1121,FAMI,Farmmi Inc
1122,FANG,Diamondback Energy
1123,FANH,Fanhua Inc
1124,FARM,Farmer Brothers
1125,FARO,Faro Tech Inc
1126,FAST,Fastenal Company
1127,FAT,Fat Brands Inc
1128,FATE,Fate Therapeutics
1129,FB,Facebook Inc
1130,FBIO,Fortress Biotech Inc
1131,FBIOP,Fortress Biotech Inc 9.375% Series A Cumulativ
1132,FBIZ,First Business Finan
1133,FBMS,First Bancshs [Ms]
1134,FBNC,First Bancorp [Nc]
1135,FBSS,Fauquier Bankshares
1136,FBZ,Brazil Alphadex Fund FT
1137,FCA,China Alphadex Fund FT
1138,FCAL,First Trust Exchange-Traded Fund III First Trust
1139,FCAN,Canada Alphadex Fund FT
1140,FCAP,First Capital Inc
1141,FCBC,First Community Bksh
1142,FCBP,First Choice Bancorp
1143,FCCO,First Community Corp
1144,FCCY,1st Constitution Bcp
1145,FCEF,CEF Income Opportunity ETF FT
1146,FCEL,Fuelcell Energy Inc
1147,FCFS,First Cash Fin Svcs
1148,FCNCA,First Citizens Bancs
1149,FCNCP,First Citizens Bancshares
1150,FCVT,Ssi Strategic Convertible Securities ETF FT
1151,FDBC,Fidelity D & D Bancorp Inc
1152,FDEF,First Defiance Finl
1153,FDIV,Strategic Income ETF FT
1154,FDNI,FT DJ International Internet ETF
1155,FDT,Dev Mkts Ex-US Alphadex Fund FT
1156,FDTS,Dev Mkts Ex-US Small Cap Alphadex Fund FT
1157,FDUS,Fidus Investment Cor
1158,FDUSG,Fidus Investment Corp 5.375% Notes Due 20
1159,FDUSL,Fidus Investment Corp 5.875% Notes Due 20
1160,FDUSZ,Fidus Investment Corp 6% Notes Due 2024
1161,FEIM,Frequency Elcts Inc
1162,FELE,Franklin Electric Company
1163,FEM,Emrg Mkts Alphadex Fund FT
1164,FEMB,Emrg Mkts Local Currency Bond ETF FT
1165,FEMS,Emrg Mkts Small Cap Alphadex Fund FT
1166,FENC,Fennec Pharmaceuticals Inc
1167,FEP,Europe Alphadex Fund FT
1168,FEUZ,Eurozone Alphadex Fund FT
1169,FEX,Largecap Core Alphadex Fund FT
1170,FEYE,Fireeye Inc
1171,FFBC,First Finl Bncp [Oh]
1172,FFBW,Ffbw Inc
1173,FFHL,Fuwei Films [Holding
1174,FFIC,Flushing Finl Corp
1175,FFIN,First Finl Bkshs Inc
1176,FFIV,F5 Networks Inc
1177,FFNW,First Financial Nort
1178,FFWM,First Foundation
1179,FGBI,First Gurty Banc
1180,FGEN,Fibrogen Inc CS
1181,FGM,Germany Alphadex Fund FT
1182,FHB,First Hawaiian Inc
1183,FHK,Hong Kong Alphadex Fund FT
1184,FIBK,First Interstate Ban
1185,FID,First Trust S&P Intl Dividend Aristocrats ETF
1186,FINX,G-X Fintech Thematic ETF
1187,FISI,Financial Institut
1188,FISV,Fiserv Inc
1189,FITB,Fifth Third Bncp
1190,FITBI,Fifth Third Bancorp
1191,FITBO,Fifth Third Bancorp 4.95% Prf Perpetual USD 25 S
1192,FITBP,Fifth Third Bancorp Depositary Shares 1/40Th
1193,FIVE,Five Below Inc
1194,FIVN,Five9 Inc
1195,FIXD,Tcw Opportunistic Fixed Income ETF FT
1196,FIXX,Homology Medicines Inc
1197,FIZZ,Natl Beverage Cp
1198,FJP,Japan Alphadex Fund FT
1199,FKO,South Korea Alphadex Fund FT
1200,FKU,UK Alphadex Fund FT
1201,FLDM,Fluidigm Corp
1202,FLEX,Flextronics Intl Ltd
1203,FLGT,Fulgent Genetics Inc
1204,FLIC,First of Long Isla
1205,FLIR,Flir Systems Inc
1206,FLL,Full House Rsts
1207,FLMN,Falcon Minerals Corp Cl A
1208,FLMNW,Falcon Minerals Corp WT
1209,FLN,Latin America Alphadex Fund FT
1210,FLNT,Fluent Inc
1211,FLWS,1-800-Flowers.com
1212,FLXN,Flexion Therapeutics
1213,FLXS,Flexsteel Inds
1214,FMAO,Farmers & Merch Banc
1215,FMB,Managed Municipal ETF FT
1216,FMBH,First Mid Ill Bncshr
1217,FMBI,First Midwest Bncp
1218,FMCI,Forum Merger II Corp Cl A
1219,FMCIU,Forum Merger II Corp Unit
1220,FMCIW,Forum Merger II Corp WT
1221,FMHI,FT Municipal High Income ETF
1222,FMK,Mega Cap Alphadex Fund FT
1223,FMNB,Farmers Natl Banc Cp
1224,FNCB,FNCB Bancorp Inc
1225,FNHC,Federated Natl Hld
1226,FNJN,Finjan Holdings
1227,FNK,Mid Cap Value Alphadex Fund FT
1228,FNKO,Funko Inc Cl A
1229,FNLC,First Bancorp Inc
1230,FNWB,First Nw Banc
1231,FNX,Mid Cap Core Alphadex Fund FT
1232,FNY,Mid Cap Growth Alphadex Fund FT
1233,FOCS,Focus Financial Partners Inc Cl A
1234,FOLD,Amicus Therapeutics
1235,FONR,Fonar Corp
1236,FORD,Forward Inds Inc
1237,FORK,Fuling Global Ord Sh
1238,FORM,Formfactor Inc
1239,FORR,Forrester Resrch
1240,FORTY,Formula Sys [1985]
1241,FOSL,Fossil Group
1242,FOX,Fox Corp Cl B
1243,FOXA,Fox Corp Cl A
1244,FOXF,Fox Factory Cp
1245,FPA,Asia Pacific Ex-Japan Alphadex Fund FT
1246,FPAY,Flexshopper Inc
1247,FPRX,Five Prime Thera
1248,FPXE,First Trust Ipox Europe Equity Opp ETF
1249,FPXI,International IPO Fund FT
1250,FRAF,Franklin Finl Svcs Corp
1251,FRAN,Francesca's Holdings
1252,FRBA,First Bank
1253,FRBK,Republic First Bcp
1254,FREQ,Frequency Therapeutics Inc
1255,FRG,Franchise Group Inc
1256,FRGI,Fiesta Restaurant Gp
1257,FRHC,Freedom Holding Corp
1258,FRME,First Merchants Corp
1259,FRPH,Frp Holdings Inc
1260,FRPT,Freshpet Inc CS
1261,FRSX,Foresight Autonomous Holdings Ltd ADR
1262,FRTA,Forterra Inc
1263,FSBW,FS Bancorp Inc
1264,FSCT,Forescout Technologies Inc
1265,FSEA,First Seacoast Bancorp
1266,FSFG,First Savings Financ
1267,FSLR,First Solar Inc
1268,FSRV,Finserv Acquisition Corp. Cl A
1269,FSRVU,Finserv Acquisition Corp
1270,FSRVW,Finserv Acquisition Corp. WT
1271,FSTR,Foster L B Company
1272,FSV,Firstsrvce Sub VT Sh
1273,FSZ,Switzerland Alphadex Fund FT
1274,FTA,Largecap Value Alphadex Fund FT
1275,FTAC,Fintech Acquisition Corp III Cl A
1276,FTACU,Fintech Acquisition Corp III Unit
1277,FTACW,Fintech Acquisition Corp III WT
1278,FTAG,Indxx Global Agriculture ETF FT
1279,FTC,Largecap Growth Alphadex Fund FT
1280,FTCS,Capital Strength ETF FT
1281,FTDR,Frontdoor Inc
1282,FTEK,Fuel Tech Inc
1283,FTFT,Future Fintech Group Inc
1284,FTGC,Global Tactical Commodity Strategy Fund FT
1285,FTHI,High Income ETF FT
1286,FTLB,Low Beta Income ETF FT
1287,FTNT,Fortinet Inc
1288,FTRI,Indxx Global Natural Resources Income ETF FT
1289,FTSL,Senior Loan ETF FT
1290,FTSM,Enhanced Short Maturity ETF FT
1291,FTXD,Nasdaq Retail ETF FT
1292,FTXG,Nasdaq Food & Beverage ETF FT
1293,FTXH,Nasdaq Pharmaceuticals ETF FT
1294,FTXL,Nasdaq Semiconductor ETF FT
1295,FTXN,Nasdaq Oil & Gas ETF FT
1296,FTXO,Nasdaq Bank ETF FT
1297,FTXR,Nasdaq Transportation ETF FT
1298,FULC,Fulcrum Therapeutics Inc
1299,FULT,Fulton Financial Cor
1300,FUNC,First United Corp
1301,FUND,Sprott Focus Trust
1302,FUSB,First US Bancshares Inc
1303,FUTU,Futu Holdings Ltd
1304,FUV,Arcimoto Inc
1305,FV,Dorsey Wright Focus 5 ETF FT
1306,FVC,Dorsey Wright Dynamic Focus 5 ETF FT
1307,FVCB,Fvcbankcorp Inc
1308,FVE,Five Star Quality Care
1309,FWONA,Liberty Media F1 Series A
1310,FWONK,Liberty Media F1 Series K
1311,FWP,Forward Pharma Ads
1312,FWRD,Foward Air Corp
1313,FXNC,First Natl Corp Strasburg VA
1314,FYC,Smallcap Growth Alphadex Fund FT
1315,FYT,Smallcap Value Alphadex Fund FT
1316,FYX,Smallcap Core Alphadex Fund FT
1317,GABC,German Amer Bncp Inc
1318,GAIA,Gaiam Inc
1319,GAIN,Gladstone Investment
1320,GAINL,Gladstone Investment Corp Term Pfd Ser E %
1321,GAINM,Gladstone Investment Corp
1322,GALT,Galectin Therapeutic
1323,GAN,Gan Limited
1324,GARS,Garrison Capital Inc
1325,GASS,Stealthgas Inc
1326,GBCI,Glacier Bancorp Inc
1327,GBDC,Golub Capital Bdc
1328,GBLI,Global Indemnity Plc
1329,GBLIL,Global Indemnity Ltd 7.875% Subordinated Not
1330,GBLIZ,Global Indmnty 7.75
1331,GBT,Global Blood Ther
1332,GCBC,Greene County Bncp
1333,GDEN,Golden Entmt
1334,GDS,Gds Holdings Ltd
1335,GDYN,Grid Dynamics Holdings Inc.
1336,GDYNW,Grid Dynamics Holdings Inc. WT
1337,GEC,Great Elm Capital Group Inc
1338,GECC,Great Elm Capital Corp
1339,GECCL,Great Elm Capital Corp 6.50% Notes Due 2022
1340,GECCM,Great Elm Capital Corp 6.75% Notes Due 2025
1341,GECCN,Great Elm Capital Corp 6.5% Notes Due 2024
1342,GENC,Gencor Industries IN
1343,GENE,Genetic Tech Spn Ads
1344,GENY,Principal Millennials Index ETF
1345,GEOS,Geospace Technologie
1346,GERN,Geron Corp
1347,GEVO,Gevo Inc
1348,GFED,Guaranty Fedl Bcshs
1349,GFN,General Finance Corp
1350,GFNCP,General Fn Cum Pfd C
1351,GFNSL,Genrl Fin Sr Nt 2021
1352,GGAL,Grupo Fin Galicia
1353,GH,Guardant Health Inc
1354,GHIV,Gores Holdings IV Inc Cl A
1355,GHIVU,Gores Holdings IV Inc
1356,GHIVW,Gores Holdings IV Inc WT
1357,GHSI,Guardion Health Sciences Inc
1358,GIFI,Gulf Island Fab
1359,GIGE,Sofi Gig Economy ETF
1360,GIGM,Gigamedia Ltd
1361,GIII,G-III Apparel Gp
1362,GILD,Gilead Sciences Inc
1363,GILT,Gilat Satellite Ntwk
1364,GLAD,Gladstone Cap Corp
1365,GLADD,Gladstone Capital Corp 6.125% Notes Due 2
1366,GLADL,Gladstone Capital Corp 5.375% Notes Due 2
1367,GLBS,Globus Maritime Limi
1368,GLBZ,Glen Burnie Bancorp
1369,GLDD,Great Lakes Drg Dock
1370,GLDI,CS X-Links Gold Share
1371,GLG,China Bat Group Inc
1372,GLIBA,Gci Liberty Inc Cl A
1373,GLIBP,Gci Liberty Inc Ser A Pfd
1374,GLMD,Galmed Pharmaceutica
1375,GLNG,Golar Lng Ltd
1376,GLPG,Galapagos NV
1377,GLPI,Gaming & Leisure
1378,GLRE,Greenlight Cap. Re.
1379,GLUU,Glu Mobile Inc
1380,GLYC,Glycomimetics Inc
1381,GMAB,Genmab A/S
1382,GMBL,Esports Entertainment Group Inc.
1383,GMBLW,Esports Entertainment Group Inc WT
1384,GMDA,Gamida Cell Ltd
1385,GMHI,Gores Metropoulos Cl A
1386,GMHIU,Gores Metropoulos Inc Unit
1387,GMHIW,Gores Metropoulos WT
1388,GMLP,Golar Lng Partners
1389,GMLPP,Golar Lng Partners LP
1390,GNCA,Genocea Biosciences
1391,GNFT,Genfit S.A. ADR
1392,GNLN,Greenlane Holdings Inc Cl A
1393,GNMA,GNMA Bond Ishares ETF
